Name,Party,Country,Loyalty to political group,Loyalty to national party,Participation in roll-call votes,,,
VAN BREMPT Kathleen,S&D,Belgium,93.76,100.00,90.98
GARGANI Giuseppe,EPP,Italy,96.71,100.00,56.39
ZUBER Inês Cristina,GUE-NGL,Portugal,82.14,100.00,93.27
NICHOLSON James,ECR,United Kingdom,95.38,100.00,87.80
ESSAYAH Sari,EPP,Finland,82.26,100.00,87.07
ROSBACH Anna,ECR,Denmark,79.97,100.00,87.54
WINKLER Iuliu,EPP,Romania,95.33,100.00,85.85
BAUER Edit,EPP,Slovakia,95.33,100.00,96.22
GODMANIS Ivars,ALDE/ADLE,Latvia,95.32,100.00,64.26
MUSCARDINI Cristiana,ECR,Italy,76.82,100.00,87.88
GUSTAFSSON Mikael,GUE-NGL,Sweden,79.52,100.00,81.00
VATTIMO Gianni,ALDE/ADLE,Italy,79.77,100.00,69.03
SCHLYTER Carl,Greens/EFA,Sweden,82.79,100.00,93.72
SVENSSON Alf,EPP,Sweden,83.30,100.00,92.13
VULJANIĆ Nikola,GUE-NGL,Croatia,93.53,100.00,80.85
MORGANTI Claudio,EFD,Italy,83.69,100.00,93.42
REPO Mitro,S&D,Finland,96.55,100.00,86.28
FERREIRA João,GUE-NGL,Portugal,83.95,100.00,84.48
MIRSKY Alexander,S&D,Latvia,96.55,100.00,71.69
MEYER Willy,GUE-NGL,Spain,93.54,100.00,74.21
TREMOSA i BALCELLS Ramon,ALDE/ADLE,Spain,93.57,100.00,91.01
ALFONSI François,Greens/EFA,France,96.64,100.00,87.10
DALEN Peter van,ECR,Netherlands,83.40,100.00,85.10
PAPADOPOULOU Antigoni,S&D,Cyprus,96.63,100.00,80.88
ANDERSON Martina,GUE-NGL,United Kingdom,83.43,100.00,88.54
SOUSA Alda,GUE-NGL,Portugal,95.32,100.00,93.29
JONG Cornelis de,GUE-NGL,Netherlands,75.66,100.00,85.42
VILLIERS Philippe de,EFD,France,53.14,100.00,46.50
CASA David,EPP,Malta,95.24,100.00,61.34
GROSCH Mathieu,EPP,Belgium,93.78,100.00,87.70
KUKAN Eduard,EPP,Slovakia,97.06,100.00,95.76
NATTRASS Mike,NI,United Kingdom,56.23,100.00,78.87
SALATTO Potito,EPP,Italy,97.12,100.00,66.89
MELO Nuno,EPP,Portugal,95.23,100.00,78.02
DORFMANN Herbert,EPP,Italy,97.28,100.00,95.76
THEOCHAROUS Eleni,EPP,Cyprus,95.17,100.00,72.00
GALLO Marielle,EPP,France,95.19,100.00,88.38
SINCLAIRE Nicole,NI,United Kingdom,47.09,100.00,75.71
SALAVRAKOS Nikolaos,EFD,Greece,59.03,100.00,82.69
BINEV Slavi,EFD,Bulgaria,60.58,100.00,59.59
MESSERSCHMIDT Morten,EFD,Denmark,63.62,100.00,80.15
PAŠKA Jaroslav,EFD,Slovakia,63.35,100.00,97.17
BELDER Bastiaan,EFD,Netherlands,63.77,100.00,98.22
PARVANOVA Antonyia,ALDE/ADLE,Bulgaria,96.88,100.00,81.65
JOHANSSON Kent,ALDE/ADLE,Sweden,92.19,100.00,93.62
DEMESMAEKER Mark,Greens/EFA,Belgium,62.75,100.00,91.03
TOUSSAS Georgios,GUE-NGL,Greece,62.70,100.00,57.65
VANHECKE Frank,EFD,Belgium,60.85,100.00,77.16
KELAM Tunne,EPP,Estonia,96.96,100.00,95.96
ANGOURAKIS Charalampos,GUE-NGL,Greece,61.81,100.00,79.08
FAJON Tanja,S&D,Slovenia,96.95,100.00,81.86
MIKOLÁŠIK Miroslav,EPP,Slovakia,96.55,100.00,89.92
ZÁBORSKÁ Anna,EPP,Slovakia,93.47,100.00,93.05
EVANS Jill,Greens/EFA,United Kingdom,95.63,100.00,89.80
RIQUET Dominique,EPP,France,95.63,100.00,90.00
BILBAO BARANDICA Izaskun,ALDE/ADLE,Spain,89.36,100.00,95.82
DELVAUX Anne,EPP,Belgium,89.46,100.00,95.13
ENGSTRÖM Christian,Greens/EFA,Sweden,95.66,100.00,92.26
KOZLÍK Sergej,ALDE/ADLE,Slovakia,92.97,100.00,77.49
SAKS Katrin,S&D,Estonia,96.14,100.00,94.93
SMITH Alyn,Greens/EFA,United Kingdom,87.87,100.00,82.69
STRIFFLER Michèle,EPP,France,88.01,100.00,92.27
VAJGL Ivo,ALDE/ADLE,Slovenia,96.17,100.00,85.17
LÖVIN Isabella,Greens/EFA,Sweden,88.07,100.00,93.18
JAAKONSAARI Liisa,S&D,Finland,95.77,100.00,93.71
ANDERSDOTTER Amelia,Greens/EFA,Sweden,91.11,100.00,75.87
COSTELLO Emer,S&D,Ireland,95.87,100.00,86.63
GIEREK Adam,S&D,Poland,92.36,100.00,95.91
EPPINK Derk Jan,ECR,Belgium,92.12,100.00,71.93
BODU Sebastian Valentin,EPP,Romania,95.90,100.00,91.06
TATARELLA Salvatore,EPP,Italy,95.89,100.00,65.42
SCURRIA Marco,EPP,Italy,95.83,100.00,80.32
RIES Frédérique,ALDE/ADLE,Belgium,92.68,100.00,90.04
RUBIKS Alfreds,GUE-NGL,Latvia,92.69,100.00,94.00
MICHEL Louis,ALDE/ADLE,Belgium,95.99,100.00,82.13
CHOUNTIS Nikolaos,GUE-NGL,Greece,91.45,100.00,85.38
BOKROS Lajos,ECR,Hungary,92.68,100.00,62.10
MURPHY Paul,GUE-NGL,Ireland,87.53,100.00,85.77
VIDAL-QUADRAS Alejo,EPP,Spain,96.22,100.00,87.75
AUKEN Margrete,Greens/EFA,Denmark,96.41,100.00,90.39
HUDGHTON Ian,Greens/EFA,United Kingdom,85.23,100.00,69.44
ILCHEV Stanimir,ALDE/ADLE,Bulgaria,95.47,100.00,91.84
MASTELLA Clemente,EPP,Italy,95.52,100.00,53.30
HADJIGEORGIOU Takis,GUE-NGL,Cyprus,85.45,100.00,71.27
ZĪLE Roberts,ECR,Latvia,85.10,100.00,73.77
SOPHOCLEOUS Sophocles,S&D,Cyprus,95.44,100.00,68.92
PITSILLIDES Andreas,EPP,Cyprus,96.53,100.00,73.53
KARI Rina Ronja,GUE-NGL,Denmark,84.42,100.00,95.03
OMARJEE Younous,GUE-NGL,France,84.79,100.00,86.13
LIOTARD Kartika Tamara,GUE-NGL,Netherlands,84.88,100.00,82.27
TRIANTAPHYLLIDES Kyriacos,GUE-NGL,Cyprus,85.46,100.00,89.63
GOEBBELS Robert,S&D,Luxembourg,85.51,100.00,80.89
TOMAŠEVSKI Valdemar,ECR,Lithuania,86.39,100.00,82.33
VITKAUSKAITE BERNARD Justina,ALDE/ADLE,Lithuania,86.20,100.00,34.73
SKYLAKAKIS Theodoros,ALDE/ADLE,Greece,86.64,100.00,81.81
ŽDANOKA Tatjana,Greens/EFA,Latvia,96.23,100.00,95.14
BIELAN Adam,ECR,Poland,86.99,100.00,90.45
PRENDERGAST Phil,S&D,Ireland,95.54,100.00,85.57
TOMAŠIĆ Ruža,ECR,Croatia,94.83,100.00,80.51
SEDÓ i ALABART Salvador,EPP,Spain,95.52,100.00,83.46
SÓGOR Csaba,EPP,Romania,96.33,100.00,94.04
GOERENS Charles,ALDE/ADLE,Luxembourg,93.22,100.00,89.47
BENDTSEN Bendt,EPP,Denmark,85.66,100.00,86.55
IMBRASAS Juozas,EFD,Lithuania,45.79,100.00,87.24
TERHO Sampo,EFD,Finland,64.25,100.00,95.45
CHRYSOGELOS Nikos,Greens/EFA,Greece,98.01,100.00,83.09
ZAMFIRESCU Dan Dumitru,NI,Romania,0.00,100.00,79.22
MÉSZÁROS Alajos,EPP,Slovakia,97.60,100.00,91.08
LAMBERT Jean,Greens/EFA,United Kingdom,97.98,100.00,92.62
IRAZABALBEITIA FERNÁNDEZ Iñaki,Greens/EFA,Spain,94.23,100.00,89.07
DODDS Diane,NI,United Kingdom,0.00,100.00,76.14
STOYANOV Dimitar,NI,Bulgaria,0.00,100.00,75.92
CRONBERG Tarja,Greens/EFA,Finland,98.09,100.00,69.10
ŠŤASTNÝ Peter,EPP,Slovakia,98.05,100.00,95.83
CUTAŞ George Sabin,S&D,Romania,98.05,100.00,98.71
NEYNSKY Nadezhda,EPP,Bulgaria,97.92,100.00,80.15
OBERMAYR Franz,NI,Austria,0.00,100.00,93.46
EHRENHAUSER Martin,NI,Austria,0.00,100.00,87.27
METSOLA Roberta,EPP,Malta,94.82,100.00,96.17
GRIFFIN Nick,NI,United Kingdom,0.00,100.00,84.11
PREDA Cristian Dan,EPP,Romania,97.74,100.00,99.37
ROMEVA i RUEDA Raül,Greens/EFA,Spain,97.79,100.00,95.53
EL KHADRAOUI Saïd,S&D,Belgium,94.31,100.00,95.99
BADIA i CUTCHET Maria,S&D,Spain,95.04,100.00,88.65
TEIXEIRA Nuno,EPP,Portugal,95.09,100.00,92.76
MATIAS Marisa,GUE-NGL,Portugal,94.38,100.00,86.83
STADLER Ewald,NI,Austria,0.00,100.00,91.32
TAYLOR Keith,Greens/EFA,United Kingdom,98.10,100.00,92.80
DONSKIS Leonidas,ALDE/ADLE,Lithuania,98.10,100.00,93.79
PAKSAS Rolandas,EFD,Lithuania,43.01,100.00,67.82
STAES Bart,Greens/EFA,Belgium,98.60,100.00,95.75
LAMBERTS Philippe,Greens/EFA,Belgium,99.18,100.00,93.09
MALINOV Svetoslav Hristov,EPP,Bulgaria,98.34,100.00,91.84
FEIO Diogo,EPP,Portugal,94.67,100.00,91.12
PETERLE Alojz,EPP,Slovenia,97.39,100.00,82.42
KLEVA KEKUŠ Mojca,S&D,Slovenia,98.55,100.00,66.55
LICHTENBERGER Eva,Greens/EFA,Austria,98.51,100.00,94.37
SOSA WAGNER Francisco,NI,Spain,0.00,100.00,90.98
TORVALDS Nils,ALDE/ADLE,Finland,94.75,100.00,88.71
MARTIN Hans-Peter,NI,Austria,0.00,100.00,93.58
BŘEZINA Jan,EPP,Czech Republic,94.61,100.00,90.69
KACIN Jelko,ALDE/ADLE,Slovenia,98.25,100.00,84.61
ROITHOVÁ Zuzana,EPP,Czech Republic,94.13,100.00,95.39
DURANT Isabelle,Greens/EFA,Belgium,98.25,100.00,74.54
HASSI Satu,Greens/EFA,Finland,98.24,100.00,92.07
