"Name","Loyalty to political group","Loyalty to national party","Participation in roll-call votes","","",""
"BLOOM","0.00","88.74","23.11","736","741","764"
"BONANINI","0.00","0.00","96.40","736","754","32"
"BRONS","0.00","100.00","95.88","736","1","43"
"CHILDERS","0.00","0.00","93.35","736","754","136"
"CLAEYS","0.00","100.00","94.25","736","1","94"
"COLMAN","0.00","70.01","50.47","736","751","752"
"DODDS","0.00","100.00","76.14","736","1","632"
"EHRENHAUSER","0.00","100.00","87.27","736","1","369"
"GOLLNISCH","0.00","99.04","84.69","736","238","457"
"GRIFFIN","0.00","100.00","84.11","736","1","471"
"HARTONG","0.00","99.86","93.55","736","154","125"
"J.A.J. STASSEN","0.00","0.00","86.07","736","754","414"
"KAMMEN","0.00","99.94","84.07","736","152","472"
"KOVÁCS","0.00","98.38","64.26","736","380","718"
"LE PEN","0.00","99.21","66.53","736","210","709"
"LE PEN","0.00","98.96","67.29","736","254","701"
"MARTIN","0.00","100.00","93.58","736","1","124"
"MORVAI","0.00","95.03","63.93","736","710","720"
"MÖLZER","0.00","100.00","79.59","736","1","581"
"OBERMAYR","0.00","100.00","93.46","736","1","129"
"SEVERIN","0.00","93.60","87.11","736","726","376"
"SOSA WAGNER","0.00","100.00","90.98","736","1","223"
"STADLER","0.00","100.00","91.32","736","1","209"
"STOEP","0.00","99.95","88.16","736","151","336"
"STOYANOV","0.00","100.00","75.92","736","1","634"
"SZEGEDI","0.00","81.06","58.08","736","747","741"
"VADIM TUDOR","0.00","99.75","61.26","736","160","732"
"ZAMFIRESCU","0.00","100.00","79.22","736","1","586"
"ZIJLSTRA","0.00","99.83","96.34","736","155","33"
"PAKSAS","43.01","100.00","67.82","735","1","694"
"IMBRASAS","45.79","100.00","87.24","734","1","370"
"SINCLAIRE","47.09","100.00","75.71","733","1","639"
"BATTEN","52.33","98.84","68.06","731","283","691"
"FARAGE","52.33","97.42","42.97","731","550","759"
"CLARK","52.41","98.77","79.70","730","302","578"
"AGNEW","52.77","98.80","91.87","729","292","193"
"DARTMOUTH","53.12","96.31","69.03","728","662","686"
"VILLIERS","53.14","100.00","46.50","727","1","756"
"BUFTON","54.38","99.38","55.48","726","180","746"
"NUTTALL","54.90","97.91","42.62","725","473","760"
"NATTRASS","56.23","100.00","78.87","724","1","590"
"SALAVRAKOS","59.03","100.00","82.69","723","1","514"
"BINEV","60.58","100.00","59.59","722","1","737"
"VANHECKE","60.85","100.00","77.16","721","1","621"
"TZAVELA","61.49","0.00","60.02","720","754","736"
"ANGOURAKIS","61.81","100.00","79.08","719","1","588"
"TOUSSAS","62.70","100.00","57.65","718","1","744"
"DEMESMAEKER","62.75","100.00","91.03","717","1","220"
"PAŠKA","63.35","100.00","97.17","716","1","21"
"MESSERSCHMIDT","63.62","100.00","80.15","715","1","566"
"BELDER","63.77","100.00","98.22","714","1","8"
"TERHO","64.25","100.00","95.45","713","1","56"
"ZASADA","64.92","78.24","89.70","712","749","276"
"HELMER","67.97","79.65","87.53","711","748","360"
"ANDREASEN","72.56","98.01","94.20","710","454","95"
"ZIOBRO","73.34","91.23","77.93","709","738","614"
"BENNAHMIAS","74.34","85.14","89.18","708","745","299"
"WŁOSOWICZ","75.32","97.09","80.39","707","590","561"
"JONG","75.66","100.00","85.42","706","1","439"
"LEPAGE","76.67","99.77","79.53","705","158","583"
"KURSKI","76.72","96.09","72.63","704","674","660"
"MUSCARDINI","76.82","100.00","87.88","703","1","349"
"CYMAŃSKI","77.17","96.31","83.03","702","662","504"
"ALLAM","77.66","99.81","77.12","701","156","622"
"KAMIŃSKI","77.77","0.00","58.70","700","754","739"
"KOHLÍČEK","78.68","95.64","76.64","699","689","628"
"MÉLENCHON","79.19","88.43","71.40","698","742","669"
"GUSTAFSSON","79.52","100.00","81.00","697","1","547"
"VATTIMO","79.77","100.00","69.03","696","1","686"
"ROSBACH","79.97","100.00","87.54","695","1","358"
"PIETIKÄINEN","80.39","86.93","81.15","694","744","544"
"FJELLNER","80.40","98.17","79.18","693","421","587"
"WERTHMANN","80.48","0.00","97.33","692","754","18"
"IBRISAGIC","81.02","98.98","89.46","691","248","289"
"HEDH","81.11","95.61","78.41","690","690","598"
"CAMPBELL BANNERMAN","81.27","93.71","78.02","689","725","610"
"HÖKMARK","81.74","98.30","80.81","688","396","553"
